ID,Alignment,Parameter,Value
000,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.174312571815e-04
000,Instrument.Alignments.Optics.MdSImRotCheb1,,3.617165435145e-01
000,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.281539070000e-01
000,Instrument.Alignments.Optics.MdDeflACF,Y,1.350066490842e-01
000,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
000,Instrument.Alignments.Optics.MdCompUHRRem,,-4.960000000000e+00
000,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
000,Instrument.Alignments.Detectors.TLD.Push,,-1.725907673573e+02
000,Instrument.Alignments.Optics.MdDeflDC1,X,1.576327608488e-01
000,Instrument.Alignments.Optics.MdHRpar4,,-4.770190598243e-07
000,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.610594209464e+00
000,Instrument.Alignments.Optics.MdHRSatPar1,,-1.414868026605e+01
031,Instrument.Alignments.Optics.MdTLDAlign,X,-6.258084486944e-02
031,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-2.402187322541e-05
031,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.967025186108e-02
031,Instrument.Alignments.Optics.MdSShiftTube3,Y,-6.570163753494e+01
031,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-4.083333333333e-04
031,Instrument.Alignments.Optics.MdSImRotCheb1,,3.628695067006e-01
031,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.302173168149e-01
031,Instrument.Alignments.Optics.MdDeflACF,Y,1.345656025528e-01
031,Instrument.Alignments.Optics.MdACRotUpp,Y,3.697754677755e-03
031,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
031,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
031,Instrument.Alignments.Detectors.TLD.Push,,-1.530646482230e+02
031,Instrument.Alignments.Optics.MdDeflDC1,X,1.457481135945e-01
031,Instrument.Alignments.Optics.MdHRpar4,,-2.447075551658e-05
031,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.613169419030e+00
031,Instrument.Alignments.Optics.MdHRSatPar1,,-2.176139807774e+01
034,Instrument.Alignments.Optics.MdTLDAlign,X,-6.991105293714e-02
034,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.556127780165e-06
034,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-4.218488631356e-02
034,Instrument.Alignments.Optics.MdSShiftTube3,Y,-4.376061783344e+01
034,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-6.835221367577e-04
034,Instrument.Alignments.Optics.MdSImRotCheb1,,3.634795706447e-01
034,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.294814759440e-01
034,Instrument.Alignments.Optics.MdDeflACF,Y,1.345999683843e-01
